year,team,rank,Rank-category,avg,era,attendance,loca2,loca1
2015,Wyverns,5,Middle,0.272,4.71,814349,37.4368665,126.6911156
2014,Wyverns,5,Middle,0.291,5.51,829822,37.4368665,126.6911156
2013,Wyverns,6,Middle,0.265,4.16,912042,37.4368665,126.6911156
2012,Wyverns,2,Top 2,0.258,3.82,1069929,37.4368665,126.6911156
2011,Wyverns,3,Middle,0.263,3.59,998660,37.4368665,126.6911156
2010,Wyverns,1,Top 2,0.274,3.71,983886,37.4368665,126.6911156
2009,Wyverns,2,Top 2,0.285,3.67,841270,37.4368665,126.6911156
2008,Wyverns,1,Top 2,0.282,3.22,754247,37.4368665,126.6911156
2007,Wyverns,1,Top 2,0.264,3.24,656426,37.4368665,126.6911156
2006,Wyverns,6,Middle,0.254,3.8,331143,37.4368665,126.6911156
2005,Wyverns,3,Middle,0.269,3.41,458121,37.4368665,126.6911156
2004,Wyverns,5,Middle,0.272,4.4,337674,37.4368665,126.6911156
2003,Wyverns,4,Middle,0.272,4.44,438966,37.4368665,126.6911156
2002,Wyverns,6,Middle,0.27,4.47,402732,37.4671794,126.6379752
2001,Wyverns,6,Middle,0.26,4.38,178645,37.4671794,126.6379752
2000,Wyverns,8,Bottom2,0.26,5.99,84563,37.4671794,126.6379752
2015,Wiz,10,Bottom2,0.273,5.56,645465,37.3005262,127.00649
2007,Unicorns,6,Middle,0.271,4.41,134559,37.3005262,127.00649
2006,Unicorns,2,Top 2,0.27,3.41,126385,37.3005262,127.00649
2005,Unicorns,7,Bottom2,0.256,4.68,160764,37.3005262,127.00649
2004,Unicorns,1,Top 2,0.275,4.06,129036,37.3005262,127.00649
2003,Unicorns,1,Top 2,0.286,4.13,174915,37.3005262,127.00649
2002,Unicorns,3,Middle,0.261,4.23,118582,37.3005262,127.00649
2001,Unicorns,2,Top 2,0.268,4.34,148136,37.3005262,127.00649
2000,Unicorns,1,Top 2,0.278,3.64,128013,37.3005262,127.00649
1999,Unicorns,5,Middle,0.272,4.47,234455,37.4671794,126.6379752
1998,Unicorns,1,Top 2,0.27,3.03,310766,37.4671794,126.6379752
1997,Unicorns,6,Middle,0.247,4.21,323123,37.4671794,126.6379752
1996,Unicorns,4,Middle,0.243,3.04,475910,37.4671794,126.6379752
2015,Twins,9,Bottom2,0.269,4.62,1053405,37.5122621,127.0697071
2014,Twins,4,Middle,0.279,4.58,1167400,37.5122621,127.0697071
2013,Twins,2,Top 2,0.282,3.72,1289297,37.5122621,127.0697071
2012,Twins,7,Bottom2,0.261,4.02,1259480,37.5122621,127.0697071
2011,Twins,6,Middle,0.266,4.15,1191715,37.5122621,127.0697071
2010,Twins,6,Middle,0.276,5.23,1010078,37.5122621,127.0697071
2009,Twins,7,Bottom2,0.278,5.42,975333,37.5122621,127.0697071
2008,Twins,8,Bottom2,0.256,4.85,806662,37.5122621,127.0697071
2007,Twins,5,Middle,0.268,4.33,901172,37.5122621,127.0697071
2006,Twins,8,Bottom2,0.246,4.22,718635,37.5122621,127.0697071
2005,Twins,6,Middle,0.26,4.9,754888,37.5122621,127.0697071
2004,Twins,6,Middle,0.259,4.31,620865,37.5122621,127.0697071
2003,Twins,6,Middle,0.249,3.98,746858,37.5122621,127.0697071
2002,Twins,4,Middle,0.261,3.93,637878,37.5122621,127.0697071
2001,Twins,8,Bottom2,0.276,5.09,707144,37.5122621,127.0697071
2000,Twins,4,Middle,0.273,4.45,705115,37.5122621,127.0697071
1999,Twins,6,Middle,0.281,5.49,726062,37.5122621,127.0697071
