YEAR,S/C,C/G
1986,CS/G,0.77
1986,SB/G,1.58
1987,CS/G,0.73
1987,SB/G,1.7
1988,CS/G,0.68
1988,SB/G,1.57
1989,CS/G,0.69
1989,SB/G,1.48
1990,CS/G,0.72
1990,SB/G,1.56
1991,CS/G,0.74
1991,SB/G,1.48
1992,CS/G,0.76
1992,SB/G,1.55
1993,CS/G,0.73
1993,SB/G,1.44
1994,CS/G,0.65
1994,SB/G,1.41
1995,CS/G,0.62
1995,SB/G,1.45
1996,CS/G,0.59
1996,SB/G,1.43
1997,CS/G,0.69
1997,SB/G,1.46
1998,CS/G,0.62
1998,SB/G,1.35
1999,CS/G,0.63
1999,SB/G,1.41
2000,CS/G,0.54
2000,SB/G,1.2
2001,CS/G,0.58
2001,SB/G,1.28
2002,CS/G,0.53
2002,SB/G,1.13
2003,CS/G,0.47
2003,SB/G,1.06
2004,CS/G,0.45
2004,SB/G,1.07
2005,CS/G,0.44
2005,SB/G,1.06
2006,CS/G,0.46
2006,SB/G,1.14
2007,CS/G,0.41
2007,SB/G,1.2
2008,CS/G,0.43
2008,SB/G,1.15
2009,CS/G,0.47
2009,SB/G,1.22
2010,CS/G,0.46
2010,SB/G,1.22
2011,CS/G,0.52
2011,SB/G,1.35
2012,CS/G,0.47
2012,SB/G,1.33
2013,CS/G,0.41
2013,SB/G,1.11
2014,CS/G,0.43
2014,SB/G,1.14
2015,CS/G,0.44
2015,SB/G,1.03

